286,280,75,1
316,264,79,3
276,241,72,3
289,241,73,1
252,233,73,2
257,226,79,1
239,227,58,1
237,209,66,0
230,186,72,1
216,203,62,1
205,183,52,0
233,198,57,0
236,186,63,0
186,171,39,1
195,121,48,0
175,158,38,1
181,163,60,1
159,160,61,0
155,122,49,3
140,120,45,1
143,131,40,0
114,126,35,0
123,113,33,0
145,113,48,1
120,109,38,1
149,117,39,0
117,113,41,1
121,94,41,0
91,88,33,0
125,84,22,1
109,100,17,2
105,79,37,3
88,94,21,1
100,78,22,0
107,93,18,1
92,73,15,0
83,83,20,0
104,67,20,0
81,72,16,0
94,78,13,0
85,71,19,0
97,58,27,1
82,62,26,1
62,62,16,0
59,69,11,0
72,59,14,0
79,58,17,0
51,61,17,0
75,47,11,0
72,60,13,0
56,40,13,1
59,68,5,0
68,56,11,0
70,56,13,0
58,49,7,0
63,65,13,0
62,46,16,0
57,54,16,0
48,58,13,0
60,41,5,0
47,44,12,0
52,35,10,0
42,35,8,0
40,43,5,0
44,34,5,0
42,47,12,0
43,45,3,0
34,43,7,0
33,22,2,0
42,39,9,0
25,23,6,0
36,33,2,0
27,29,2,0
37,22,6,0
31,29,1,0
35,19,3,0
32,25,3,0
17,31,1,0
28,23,4,0
23,29,6,0
27,19,3,0
16,20,2,0
19,22,2,1
19,14,1,0
15,13,6,0
17,13,2,0
25,14,3,0
27,16,1,0
17,9,5,0
13,8,5,0
11,9,1,0
17,7,4,0
12,14,3,0
20,10,3,0
13,13,7,0
15,10,0,0
11,10,1,0
10,6,1,0
14,4,2,0
8,8,0,0
11,8,0,0
8,9,4,0
7,12,2,0
10,4,1,0
10,10,1,0
7,6,1,0
12,13,2,0
11,10,2,0
10,9,1,0
7,6,2,0
7,10,1,0
11,10,2,0
8,7,0,0
7,11,1,0
10,7,2,0
10,6,1,0
9,10,0,0
2,8,1,0
4,3,0,0
6,15,0,0
4,5,0,0
7,5,0,0
2,1,1,0
6,0,1,0
3,5,0,0
5,2,0,0
2,4,0,0
5,8,1,0
5,7,1,0
6,2,0,0
3,4,0,0
8,2,1,0
3,2,0,0
3,3,0,0
3,2,1,0
5,3,0,0
3,2,1,0
3,3,1,0
4,3,0,0
1,1,0,0
4,7,0,0
3,2,1,0
1,0,0,0
4,4,0,0
0,4,0,0
0,3,0,0
1,0,0,0
2,1,0,0
3,1,0,0
1,1,0,0
5,1,0,0
2,3,0,0
0,2,0,0
1,1,0,0
1,1,1,0
0,3,1,0
1,1,0,0
2,2,0,0
2,0,0,0
5,2,0,0
2,0,1,0
2,0,0,0
3,2,0,0
0,1,0,0
1,0,0,0
4,0,0,0
1,1,0,0
1,1,0,0
2,2,0,0
2,0,0,0
1,2,0,0
1,0,1,0
1,2,0,0
0,1,1,0
0,0,0,0
1,1,0,0
0,2,0,0
1,0,0,0
2,2,0,0
2,1,0,0
2,0,0,0
0,0,0,0
1,1,0,0
1,0,0,0
0,2,0,0
0,0,0,0
0,1,0,0
2,2,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
1,1,0,0
0,1,1,0
0,0,0,0
0,1,0,0
2,0,0,0
0,0,0,0
1,0,0,0
0,1,0,0
0,0,0,0
1,0,0,0
2,1,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
