200,163,139,240
269,249,208,320
214,193,127,264
159,152,149,215
204,167,158,257
240,222,179,292
135,151,100,193
170,118,109,221
255,198,171,291
155,130,98,171
149,134,97,211
185,162,133,213
164,145,120,206
118,134,81,182
123,135,88,196
136,130,118,250
107,106,66,156
121,90,67,157
148,133,117,223
112,92,74,160
98,72,72,140
119,120,83,189
132,96,84,223
70,85,50,133
87,69,66,118
96,98,85,192
83,70,53,117
88,85,41,105
110,91,75,137
88,79,63,103
55,60,37,89
67,65,59,94
91,88,75,134
56,61,42,69
61,49,38,82
78,62,56,99
56,50,50,90
57,45,52,70
79,58,36,77
74,55,52,95
45,42,33,62
35,55,35,75
66,81,46,91
44,38,41,71
45,38,27,60
57,35,27,72
52,60,26,71
39,25,36,61
34,27,31,56
47,47,39,69
34,32,30,53
39,23,20,41
54,46,37,57
41,34,22,53
34,22,31,40
22,31,22,62
53,44,35,55
32,13,14,33
25,18,18,40
42,29,32,52
27,26,13,52
24,25,9,39
30,22,23,39
25,22,17,45
27,12,14,41
15,21,24,35
39,27,23,53
23,19,18,31
18,23,20,31
37,24,20,44
23,21,17,40
14,19,8,33
14,23,12,26
17,23,14,32
14,12,9,23
21,15,12,20
12,18,15,47
16,13,8,25
16,4,6,34
15,18,12,23
22,25,9,28
11,11,6,30
8,8,10,18
16,17,16,38
12,6,7,28
7,7,6,21
13,12,10,31
8,4,4,17
8,11,3,19
6,13,9,25
9,21,7,19
2,5,5,11
11,4,3,12
12,11,9,28
8,6,7,14
9,3,3,10
5,6,4,12
5,8,9,7
4,5,2,12
3,6,4,7
9,4,7,15
6,5,1,6
9,4,4,8
9,6,5,14
5,13,3,12
3,6,2,7
6,4,3,11
6,5,3,6
3,2,5,8
6,6,2,4
8,2,6,10
3,6,3,5
4,2,1,7
6,4,4,6
3,7,4,6
4,3,1,5
5,1,1,6
4,6,2,11
3,4,3,3
1,2,3,0
2,6,2,8
4,2,5,8
4,2,2,3
4,1,1,3
5,5,3,7
3,1,0,7
1,1,2,2
3,3,1,4
1,3,1,3
2,2,4,7
4,3,3,2
4,2,0,4
3,3,2,5
1,1,2,4
2,2,1,7
2,1,1,3
3,1,1,4
2,3,1,4
2,0,2,3
0,2,1,3
1,2,1,3
4,1,2,1
3,2,0,5
0,0,0,7
0,0,0,2
2,2,1,3
3,3,1,3
0,0,1,3
2,1,2,5
0,0,0,2
1,0,0,2
0,2,0,7
2,0,1,2
2,1,2,4
0,1,0,5
1,2,0,3
3,0,0,1
1,1,0,1
5,2,1,2
1,1,0,1
1,0,0,1
1,1,2,1
3,0,0,2
1,1,0,0
0,0,0,1
2,0,0,1
0,0,0,0
1,1,0,1
0,1,0,3
0,1,0,0
3,1,0,1
1,1,3,1
0,0,1,0
0,0,0,0
1,0,1,1
0,1,0,2
1,0,1,2
0,0,0,0
0,0,0,0
1,0,0,1
1,1,0,2
0,0,0,0
0,1,0,1
0,1,0,0
1,1,1,0
0,0,2,0
0,1,0,1
0,0,0,0
2,0,0,1
0,0,0,0
1,1,0,1
0,0,0,0
0,1,0,2
0,0,0,0
0,0,0,1
0,0,0,0
0,2,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,0,0,2
0,0,0,0
0,0,1,1
0,1,0,1
0,0,0,0
1,0,1,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,1
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
