29,22,23
20,27,29
24,34,30
31,23,38
31,33,30
23,17,35
35,33,17
23,27,22
30,24,18
38,22,34
33,26,30
40,28,25
32,20,36
27,33,33
34,30,22
16,35,20
25,26,27
34,26,27
34,18,26
24,30,26
25,24,30
31,27,26
21,22,25
27,32,34
31,22,30
32,16,33
27,21,36
35,26,34
27,28,40
27,31,31
31,33,50
51,40,73
30,31,65
34,36,50
24,28,33
33,42,78
26,32,31
44,27,37
32,26,50
41,27,37
28,32,47
35,31,39
35,39,25
35,32,32
47,33,28
36,49,47
33,35,40
35,36,33
33,32,27
45,37,44
34,48,49
31,26,36
35,34,31
18,37,36
38,19,28
30,25,38
25,24,29
29,34,26
33,25,33
26,30,32
29,27,39
27,29,30
26,47,25
28,32,33
44,63,54
29,32,27
35,37,38
33,27,31
25,32,26
27,25,20
27,24,31
27,29,36
25,38,31
34,20,31
30,28,34
17,32,23
26,29,23
24,34,63
37,26,32
39,32,27
36,28,25
31,37,29
28,34,23
29,27,34
27,27,53
20,20,32
26,28,21
31,29,28
22,31,29
34,23,21
34,34,32
30,29,21
32,21,31
31,23,26
27,22,36
30,27,30
23,22,27
28,28,20
23,33,24
28,24,25
26,31,24
28,31,31
32,17,28
30,31,36
27,22,32
27,35,21
38,36,28
36,24,44
23,34,22
20,20,33
31,24,35
36,37,34
62,48,32
40,48,48
41,42,47
31,28,27
30,22,33
27,33,27
28,36,31
16,27,36
30,28,30
28,31,28
30,32,38
21,23,27
31,32,26
15,31,20
27,40,25
25,12,30
18,32,32
28,22,23
34,27,23
22,33,19
30,36,28
23,23,29
25,18,37
28,30,34
31,23,28
28,22,22
19,22,22
29,26,28
24,40,20
19,24,23
20,17,25
22,30,40
21,27,27
24,24,26
20,26,27
33,24,20
26,24,23
29,30,26
27,23,27
33,24,35
21,23,11
24,19,31
17,23,22
19,18,20
26,25,31
39,31,14
25,28,30
23,20,21
19,22,24
24,21,28
34,24,15
27,23,34
28,37,39
28,24,32
22,20,20
21,24,19
29,23,26
19,22,22
20,27,35
31,14,20
20,24,33
26,28,26
31,29,25
19,20,35
37,28,28
27,26,29
26,31,28
25,26,40
26,33,21
35,28,21
32,41,29
31,26,31
36,37,25
35,29,33
33,25,27
22,25,29
32,19,41
25,36,27
41,36,25
49,26,29
28,28,31
38,33,32
38,31,32
31,35,31
31,41,24
22,28,20
35,31,26
15,23,40
28,34,28
29,34,29
27,33,34
17,23,33
41,39,25
27,18,29
27,28,27
38,36,33
21,26,22
34,27,31
28,38,27
30,29,32
35,32,33
29,32,20
29,22,27
23,31,33
32,31,28
28,32,33
21,35,25
20,38,25
25,28,28
25,29,28
32,35,32
29,23,22
30,22,22
29,23,26
30,20,28
25,26,28
19,36,32
25,18,21
23,23,41
23,30,29
34,26,28
21,36,29
25,32,13
22,29,23
20,28,30
31,37,34
23,12,26
30,23,26
22,36,26
22,24,29
25,21,28
28,28,19
27,27,17
31,24,20
27,25,26
26,13,25
28,27,24
26,23,19
22,25,28
27,24,18
21,28,27
27,22,34
27,25,29
31,34,20
34,21,31
14,19,24
18,26,38
24,23,33
23,34,33
43,30,27
29,16,36
25,31,31
27,29,17
22,23,23
24,18,24
29,22,18
24,25,24
38,24,23
26,31,30
16,31,35
27,22,26
29,33,30
26,30,21
45,34,23
35,35,30
34,29,35
33,23,30
26,24,33
26,26,32
30,26,24
21,30,23
27,20,31
25,26,19
31,33,22
37,19,22
24,21,16
27,36,29
27,27,25
23,30,26
26,34,19
31,25,18
20,30,27
26,24,26
18,25,23
22,27,19
21,20,19
19,30,18
22,27,21
20,23,21
12,22,25
24,21,27
23,21,23
22,19,24
23,15,24
17,13,18
19,25,26
28,17,21
22,21,19
20,27,27
24,18,31
12,23,26
26,27,26
20,20,24
20,23,23
29,26,28
26,23,16
12,22,28
20,24,18
29,22,19
99465,98966,87582
